X;et_x;direct;flip;id_r;g_indicator;indicator;country;ref;DOI;g_desbio;grupo;orden;fam.spe;habitat;et_y;dif;source;manag;coo1;coo2;r_paper;n;p;phen;r_total;n_total;Zr;r_dir;Zr_dir;Var_dir
447;COH_300;+;no;12_12;configuration;connectivity;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;-0.104945893;187;-0.105333738;-0.104945893;-0.105333738;0.005434783
448;FRAC_100;+;no;12_14;configuration;connectivity;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;-0.08774193;187;-0.087968141;-0.08774193;-0.087968141;0.005434783
449;FRAC_200;+;no;12_17;configuration;connectivity;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;0.04104091;187;0.041063976;0.04104091;0.041063976;0.005434783
450;FRAC_300;+;no;12_24;configuration;connectivity;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;0.095010085;187;0.095297526;0.095010085;0.095297526;0.005434783
451;NP_100;+;no;12_28;configuration;aggregation;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;-0.065968547;187;-0.066064493;-0.065968547;-0.066064493;0.005434783
452;NP_200;+;no;12_32;configuration;aggregation;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;-0.148770713;187;-0.14988309;-0.148770713;-0.14988309;0.005434783
453;NP_300;+;no;12_34;configuration;aggregation;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;-0.222247831;187;-0.226019501;-0.222247831;-0.226019501;0.005434783
454;SHDI_100;+;no;12_40;heterogeinity;LU-crop evenness;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;0.1214217;187;0.122023751;0.1214217;0.122023751;0.005434783
455;SHDI_200;+;no;12_43;heterogeinity;LU-crop evenness;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;0.107815122;187;0.108235811;0.107815122;0.108235811;0.005434783
456;SHDI_300;+;no;12_48;heterogeinity;LU-crop evenness;philippines;Dominik et al. - 2018 -;10.1111/1365-2664.13226;abu_den;Arthropod;NA;NA;NA;Predators;easy;table;NA;NA;NA;NA;NA;NA;max;0.300262143;187;0.309807698;0.300262143;0.309807698;0.005434783
